temperatura,device_id,channel,ec40_hex,raw_hex
-16.0,247,1,EC4017F2061864A1,555555559995A5A6AA6A56559AAA966AA996A6996A
-15.0,247,1,EC4017F205185452,555555559995A5A6AA6A56559AAA666AA966A6669A
-14.0,247,1,EC4017F204184403,555555559995A5A6AA6A56559AAAA66AA9A6A6AA5A
-13.0,247,1,EC4017F2031834B5,555555559995A5A6AA6A56559AAA5A6AA95AA65966
-12.0,247,1,EC4017F2021824E4,555555559995A5A6AA6A56559AAA9A6AA99AA695A6
-11.0,247,1,EC4017F201181417,555555559995A5A6AA6A56559AAA6A6AA96AA66A56
-10.0,247,1,EC4017F200180446,555555559995A5A6AA6A56559AAAAA6AA9AAA6A696
-9.0,247,1,EC4017F20908849A,555555559995A5A6AA6A56559AAA69AAA9A9A66999
-8.0,247,1,EC4017F2080874CB,555555559995A5A6AA6A56559AAAA9AAA956A6A559
-7.0,247,1,EC4017F2070864F7,555555559995A5A6AA6A56559AAA56AAA996A65556
-6.0,247,1,EC4017F2060854A6,555555559995A5A6AA6A56559AAA96AAA966A69996
-5.0,247,1,EC4017F205084455,555555559995A5A6AA6A56559AAA66AAA9A6A66666
-4.0,247,1,EC4017F204083404,555555559995A5A6AA6A56559AAAA6AAA95AA6AAA6
-3.0,247,1,EC4017F2030824B2,555555559995A5A6AA6A56559AAA5AAAA99AA6599A
-2.0,247,1,EC4017F2020814E3,555555559995A5A6AA6A56559AAA9AAAA96AA6955A
-1.0,247,1,EC4017F201080410,555555559995A5A6AA6A56559AAA6AAAA9AAA66AAA
0.0,247,1,EC4017F2000073C2,555555559995A5A6AA6A56559AAAAAAAAA565AA59A
1.0,247,1,EC4017F101007348,555555559995A5A6AA6A56556AAA6AAAAA565AA6A9
2.0,247,1,EC4017F1020083BB,555555559995A5A6AA6A56556AAA9AAAAAA95A5959
3.0,247,1,EC4017F1030093EA,555555559995A5A6AA6A56556AAA5AAAAA695A9599
4.0,247,1,EC4017F10400A35C,555555559995A5A6AA6A56556AAAA6AAAA995A66A5
5.0,247,1,EC4017F10500B30D,555555559995A5A6AA6A56556AAA66AAAA595AAA65
6.0,247,1,EC4017F10600C3FE,555555559995A5A6AA6A56556AAA96AAAAA55A5595
7.0,247,1,EC4017F10700D3AF,555555559995A5A6AA6A56556AAA56AAAA655A9955
8.0,247,1,EC4017F10800E393,555555559995A5A6AA6A56556AAAA9AAAA955A695A
9.0,247,1,EC4017F10900F3C2,555555559995A5A6AA6A56556AAA69AAAA555AA59A
10.0,247,1,EC4017F10010731E,555555559995A5A6AA6A56556AAAAA6AAA565A6A95
11.0,247,1,EC4017F10110834F,555555559995A5A6AA6A56556AAA6A6AAAA95AA655
12.0,247,1,EC4017F1021093BC,555555559995A5A6AA6A56556AAA9A6AAA695A59A5
13.0,247,1,EC4017F20310B336,555555559995A5A6AA6A56559AAA5A6AAA595A5A96
14.0,247,1,EC4017F20410C380,555555559995A5A6AA6A56559AAAA66AAAA55AA9AA
15.0,247,1,EC4017F10510C30A,555555559995A5A6AA6A56556AAA666AAAA55AAA99
16.0,247,1,EC4017F10610D3F9,555555559995A5A6AA6A56556AAA966AAA655A5569
17.0,247,1,EC4017F10710E3A8,555555559995A5A6AA6A56556AAA566AAA955A99A9
18.0,247,1,EC4017F10810F394,555555559995A5A6AA6A56556AAAA96AAA555A69A6
19.0,247,1,EC4017F809107466,555555559995A5A6AA6A5655A9AA696AAA56A69696
20.0,247,1,EC4017F2002093CC,555555559995A5A6AA6A56559AAAAA9AAA695AA5A5
21.0,247,1,EC4017F101209346,555555559995A5A6AA6A56556AAA6A9AAA695AA696
22.0,247,1,EC4017F10220A3B5,555555559995A5A6AA6A56556AAA9A9AAA995A5966
23.0,247,1,EC4017F10320B3E4,555555559995A5A6AA6A56556AAA5A9AAA595A95A6
24.0,247,1,EC4017F10420C352,555555559995A5A6AA6A56556AAAA69AAAA55A669A
25.0,247,1,EC4017F10520D303,555555559995A5A6AA6A56556AAA669AAA655AAA5A
26.0,247,1,EC4017F10620E3F0,555555559995A5A6AA6A56556AAA969AAA955A55AA
27.0,247,1,EC4017F10720F3A1,555555559995A5A6AA6A56556AAA569AAA555A996A
28.0,247,1,EC4017F208201446,555555559995A5A6AA6A56559AAAA99AAA6AA6A696
29.0,247,1,EC4017F1092014CC,555555559995A5A6AA6A56556AAA699AAA6AA6A5A5
30.0,247,1,EC4017F100309310,555555559995A5A6AA6A56556AAAAA5AAA695A6AAA
31.0,247,1,EC4017F10130A341,555555559995A5A6AA6A56556AAA6A5AAA995AA66A
32.0,247,1,EC4017F10230B3B2,555555559995A5A6AA6A56556AAA9A5AAA595A599A
33.0,247,1,EC4017F10330C3E3,555555559995A5A6AA6A56556AAA5A5AAAA55A955A
34.0,247,1,EC4017F8043044F6,555555559995A5A6AA6A5655A9AAA65AAAA6A65596
35.0,247,1,EC4017F8053054A7,555555559995A5A6AA6A5655A9AA665AAA66A69956
36.0,247,1,EC4017F806306454,555555559995A5A6AA6A5655A9AA965AAA96A666A6
37.0,247,1,EC4017F807307405,555555559995A5A6AA6A5655A9AA565AAA56A6AA66
38.0,247,1,EC4017F808308439,555555559995A5A6AA6A5655A9AAA95AAAA9A65A69
39.0,247,1,EC4017F809309468,555555559995A5A6AA6A5655A9AA695AAA69A696A9
40.0,247,1,EC4017F8004014C6,555555559995A5A6AA6A5655A9AAAAA6AA6AA6A596
41.0,247,1,EC4017F801402497,555555559995A5A6AA6A5655A9AA6AA6AA9AA66956
42.0,247,1,EC4017F802403464,555555559995A5A6AA6A5655A9AA9AA6AA5AA696A6
43.0,247,1,EC4017F803404435,555555559995A5A6AA6A5655A9AA5AA6AAA6A65A66
44.0,247,1,EC4017F804405483,555555559995A5A6AA6A5655A9AAA6A6AA66A6A95A
45.0,247,1,EC4017F8054064D2,555555559995A5A6AA6A5655A9AA66A6AA96A6659A
46.0,247,1,EC4017F806407421,555555559995A5A6AA6A5655A9AA96A6AA56A69A6A
47.0,247,1,EC4017F807408470,555555559995A5A6AA6A5655A9AA56A6AAA9A656AA
48.0,247,1,EC4017F80840944C,555555559995A5A6AA6A5655A9AAA9A6AA69A6A6A5
49.0,247,1,EC4017F80940A41D,555555559995A5A6AA6A5655A9AA69A6AA99A66A65
50.0,247,1,EC4017F10050B362,555555559995A5A6AA6A56556AAAAA66AA595A969A
